trigger_type,filing_date,quarter,ai_weight_prior,ai_weight_current,ai_weight_change,total_portfolio_weight,ai_positions_count,new_ai_entries_this_quarter,ai_adds_this_quarter,ai_exits_this_quarter,top_5_ai_positions,subtheme,entering_tickers,entering_weights,total_subtheme_weight,subsequent_add,subsequent_add_tickers,quarters_held,ticker,company,theme,initial_weight_pct,became_active_add,filing_to_filing_return_pct,max_weight_pct,exit_date,cumulative_return_pct,subtheme_weight_prior,subtheme_weight_current,subtheme_weight_change,active_tickers,all_tickers_in_subtheme,fwd_1q_return,fwd_2q_return,fwd_3q_return,fwd_4q_return,smh_fwd_1q,smh_fwd_2q,smh_fwd_3q,smh_fwd_4q,excess_fwd_1q,excess_fwd_2q,excess_fwd_3q,excess_fwd_4q
AI_SUBTHEME_ACTIVE_CROSS_4PCT,2024-02-14,2023-12-31,,,,,,,,,,AI/EV,,,,,,,,,,,,,,,,1.66,4.56,2.90,TSLA,TSLA,-7.80,6.71,64.89,88.55,15.05,16.27,22.07,24.78,-22.85,-9.56,42.82,63.77
NEW_AI_POSITION_2PCT,2024-02-14,2023-12-31,,,,,,,,,,,,,,,,1,ORCL,ORACLE CORP,AI/Hyperscaler,3.02,FALSE,6.79,3.02,2024-05-15,0.00,,,,,,6.79,19.39,65.06,54.08,15.05,16.27,22.07,24.78,-8.26,3.12,42.99,29.30
NEW_AI_POSITION_2PCT,2024-02-14,2023-12-31,,,,,,,,,,,,,,,,10,AMZN,AMAZON COM INC,AI/Hyperscaler,2.11,TRUE,8.78,4.95,CURRENT,54.91,,,,,,8.78,-0.51,23.70,33.75,15.05,16.27,22.07,24.78,-6.27,-16.78,1.63,8.97
AI_BASKET_RAMP,2024-05-15,2024-03-31,29.34,38.79,9.44,75.69,12,"ALAB, GOOGL, LITE, MDB, MRVL, MU",AMZN,"COHR, ORCL","MRVL:6.77, ALAB:4.49, AMD:4.17, MU:4.12, CIEN:3.58",,,,,,,,,,,,,,,,,,,,,,1.06,6.10,8.46,6.12,1.06,6.10,8.46,6.12,0.00,0.00,0.00,0.00
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2024-05-15,2024-03-31,,,,,,,,,,AI/Data Infrastructure,,,,,,,,,,,,,,,,0.00,2.40,2.40,MDB,MDB,-35.34,-22.55,-23.07,-49.40,1.06,6.10,8.46,6.12,-36.40,-28.65,-31.53,-55.52
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2024-05-15,2024-03-31,,,,,,,,,,AI/Datacenter Memory,,,,,,,,,,,,,,,,0.00,4.12,4.12,MU,MU,-21.37,-22.24,-21.88,-24.97,1.06,6.10,8.46,6.12,-22.43,-28.34,-30.34,-31.09
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2024-05-15,2024-03-31,,,,,,,,,,AI/Datacenter Networking,,,,,,,,,,,,,,,,0.00,4.49,4.49,ALAB,ALAB,-49.81,14.29,13.46,19.07,1.06,6.10,8.46,6.12,-50.87,8.19,5.00,12.95
AI_SUBTHEME_ACTIVE_CROSS_4PCT,2024-05-15,2024-03-31,,,,,,,,,,AI/Datacenter Memory,,,,,,,,,,,,,,,,0.00,4.12,4.12,MU,MU,-21.37,-22.24,-21.88,-24.97,1.06,6.10,8.46,6.12,-22.43,-28.34,-30.34,-31.09
AI_SUBTHEME_ACTIVE_CROSS_4PCT,2024-05-15,2024-03-31,,,,,,,,,,AI/Datacenter Networking,,,,,,,,,,,,,,,,0.00,4.49,4.49,ALAB,ALAB,-49.81,14.29,13.46,19.07,1.06,6.10,8.46,6.12,-50.87,8.19,5.00,12.95
NEW_AI_POSITION_2PCT,2024-05-15,2024-03-31,,,,,,,,,,,,,,,,2,MRVL,MARVELL TECHNOLOGY INC,AI/Datacenter Chips,6.77,FALSE,-8.99,6.77,2024-11-14,-8.99,,,,,,-8.99,29.51,52.16,-6.76,1.06,6.10,8.46,6.12,-10.05,23.41,43.70,-12.88
NEW_AI_POSITION_2PCT,2024-05-15,2024-03-31,,,,,,,,,,,,,,,,9,ALAB,ASTERA LABS INC,AI/Datacenter Networking,4.49,TRUE,-49.81,9.56,CURRENT,178.46,,,,,,-49.81,14.29,13.46,19.07,1.06,6.10,8.46,6.12,-50.87,8.19,5.00,12.95
